case	model	quant_mode	prompt_md5	bench_md5	run	exit_code	status	decode_tok_s	decode_tokens	output_hash	token_hash	log
qwen35_0p8b_bf16	Qwen/Qwen3.5-0.8B	default	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	29.0429	32	1e3f5899349a760d	168d17d561f27c21	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qwen35_0p8b_correctness_20260429T194035Z/qwen35_0p8b_bf16_run1.log
qwen35_0p8b_4bit_dequantized	mlx-community/Qwen3.5-0.8B-MLX-4bit	dequantized	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	95.63	32	f68df19f930bcc8e	835c7c9ec95e6580	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qwen35_0p8b_correctness_20260429T194035Z/qwen35_0p8b_4bit_dequantized_run1.log
qwen35_0p8b_4bit_native	mlx-community/Qwen3.5-0.8B-MLX-4bit	native_quantized	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	124.22	32	26c903070b130ae6	0b9fdf89e204c7fa	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qwen35_0p8b_correctness_20260429T194035Z/qwen35_0p8b_4bit_native_run1.log
