case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.14.linear_attn.in_proj_qkv_z_ba.weight	4	0.391449	97.862	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.14.linear_attn.out_proj.weight	4	0.464047	116.012	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.14.mlp.down_proj.weight	4	0.271312	67.828	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.14.mlp.gate_up_proj.weight	4	0.346261	86.565	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.15.mlp.down_proj.weight	4	0.286652	71.663	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.15.mlp.gate_up_proj.weight	4	0.338939	84.735	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.15.self_attn.o_proj.weight	4	0.394398	98.600	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.15.self_attn.qkv_proj.weight	4	0.294541	73.635	[1x1x1024]	[5120x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.16.linear_attn.in_proj_qkv_z_ba.weight	4	0.394398	98.600	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.16.linear_attn.out_proj.weight	4	0.471386	117.847	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.16.mlp.down_proj.weight	4	0.273762	68.441	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.16.mlp.gate_up_proj.weight	4	0.347690	86.922	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.17.linear_attn.in_proj_qkv_z_ba.weight	4	0.405319	101.330	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.17.linear_attn.out_proj.weight	4	0.460516	115.129	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.17.mlp.down_proj.weight	4	0.280382	70.096	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.17.mlp.gate_up_proj.weight	4	0.341169	85.292	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.18.linear_attn.in_proj_qkv_z_ba.weight	4	0.402238	100.559	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.18.linear_attn.out_proj.weight	4	0.458787	114.697	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.18.mlp.down_proj.weight	4	0.267013	66.753	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.18.mlp.gate_up_proj.weight	4	0.340110	85.028	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.19.mlp.down_proj.weight	4	0.277382	69.346	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.19.mlp.gate_up_proj.weight	4	0.335430	83.858	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.19.self_attn.o_proj.weight	4	0.390629	97.657	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.19.self_attn.qkv_proj.weight	4	0.298531	74.633	[1x1x1024]	[5120x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.2.linear_attn.in_proj_qkv_z_ba.weight	4	0.389848	97.462	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.2.linear_attn.out_proj.weight	4	0.547454	136.863	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.2.mlp.down_proj.weight	4	0.285011	71.253	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.2.mlp.gate_up_proj.weight	4	0.343819	85.955	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.20.linear_attn.in_proj_qkv_z_ba.weight	4	0.394769	98.692	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.20.linear_attn.out_proj.weight	4	0.462806	115.701	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.20.mlp.down_proj.weight	4	0.268482	67.120	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.20.mlp.gate_up_proj.weight	4	0.342111	85.528	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.21.linear_attn.in_proj_qkv_z_ba.weight	4	0.397168	99.292	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.21.linear_attn.out_proj.weight	4	0.463737	115.934	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.21.mlp.down_proj.weight	4	0.269142	67.285	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.21.mlp.gate_up_proj.weight	4	0.339081	84.770	[1x1x1024]	[7168x128]	1
