case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.17.self_attn.o_proj.weight	4	0.329141	82.285	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.17.self_attn.qkv_proj.weight	4	0.280212	70.053	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.18.mlp.down_proj.weight	4	0.258132	64.533	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.18.mlp.gate_up_proj.weight	4	0.327151	81.788	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.18.self_attn.o_proj.weight	4	0.350341	87.585	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.18.self_attn.qkv_proj.weight	4	0.282302	70.576	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.19.mlp.down_proj.weight	4	0.265572	66.393	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.19.mlp.gate_up_proj.weight	4	0.330439	82.610	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.19.self_attn.o_proj.weight	4	0.357499	89.375	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.19.self_attn.qkv_proj.weight	4	0.280612	70.153	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.2.mlp.down_proj.weight	4	0.260512	65.128	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.2.mlp.gate_up_proj.weight	4	0.330242	82.560	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.2.self_attn.o_proj.weight	4	0.360530	90.133	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.2.self_attn.qkv_proj.weight	4	0.284652	71.163	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.20.mlp.down_proj.weight	4	0.259944	64.986	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.20.mlp.gate_up_proj.weight	4	0.331301	82.825	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.20.self_attn.o_proj.weight	4	0.330690	82.672	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.20.self_attn.qkv_proj.weight	4	0.308261	77.065	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.21.mlp.down_proj.weight	4	0.261893	65.473	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.21.mlp.gate_up_proj.weight	4	0.331442	82.861	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.21.self_attn.o_proj.weight	4	0.344802	86.201	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.21.self_attn.qkv_proj.weight	4	0.278862	69.716	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.22.mlp.down_proj.weight	4	0.260102	65.025	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.22.mlp.gate_up_proj.weight	4	0.327820	81.955	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.22.self_attn.o_proj.weight	4	0.325802	81.450	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.22.self_attn.qkv_proj.weight	4	0.280522	70.130	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.23.mlp.down_proj.weight	4	0.263582	65.895	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.23.mlp.gate_up_proj.weight	4	0.327099	81.775	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.23.self_attn.o_proj.weight	4	0.330301	82.575	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.23.self_attn.qkv_proj.weight	4	0.279262	69.816	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.24.mlp.down_proj.weight	4	0.270772	67.693	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.24.mlp.gate_up_proj.weight	4	0.331081	82.770	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.24.self_attn.o_proj.weight	4	0.348840	87.210	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.24.self_attn.qkv_proj.weight	4	0.280462	70.115	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.25.mlp.down_proj.weight	4	0.274533	68.633	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.25.mlp.gate_up_proj.weight	4	0.327841	81.960	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.25.self_attn.o_proj.weight	4	0.322931	80.733	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.25.self_attn.qkv_proj.weight	4	0.278862	69.716	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.26.mlp.down_proj.weight	4	0.262812	65.703	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.26.mlp.gate_up_proj.weight	4	0.326220	81.555	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.26.self_attn.o_proj.weight	4	0.347219	86.805	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.26.self_attn.qkv_proj.weight	4	0.281442	70.361	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.27.mlp.down_proj.weight	4	0.303061	75.765	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.27.mlp.gate_up_proj.weight	4	0.327740	81.935	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.27.self_attn.o_proj.weight	4	0.342250	85.562	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.27.self_attn.qkv_proj.weight	4	0.281522	70.380	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.3.mlp.down_proj.weight	4	0.268723	67.181	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.3.mlp.gate_up_proj.weight	4	0.329992	82.498	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.3.self_attn.o_proj.weight	4	0.327691	81.923	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.3.self_attn.qkv_proj.weight	4	0.285352	71.338	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.4.mlp.down_proj.weight	4	0.263272	65.818	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.4.mlp.gate_up_proj.weight	4	0.331532	82.883	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.4.self_attn.o_proj.weight	4	0.337212	84.303	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.4.self_attn.qkv_proj.weight	4	0.282222	70.555	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.5.mlp.down_proj.weight	4	0.257372	64.343	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.5.mlp.gate_up_proj.weight	4	0.331591	82.898	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.5.self_attn.o_proj.weight	4	0.336741	84.185	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.5.self_attn.qkv_proj.weight	4	0.283102	70.776	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.6.mlp.down_proj.weight	4	0.260742	65.185	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.6.mlp.gate_up_proj.weight	4	0.326581	81.645	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.6.self_attn.o_proj.weight	4	0.333161	83.290	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.6.self_attn.qkv_proj.weight	4	0.280762	70.191	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.7.mlp.down_proj.weight	4	0.257412	64.353	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.7.mlp.gate_up_proj.weight	4	0.324951	81.238	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.7.self_attn.o_proj.weight	4	0.336621	84.155	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.7.self_attn.qkv_proj.weight	4	0.286442	71.610	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.8.mlp.down_proj.weight	4	0.255243	63.811	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.8.mlp.gate_up_proj.weight	4	0.328860	82.215	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.8.self_attn.o_proj.weight	4	0.333370	83.343	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.8.self_attn.qkv_proj.weight	4	0.281552	70.388	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.9.mlp.down_proj.weight	4	0.254322	63.581	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.9.mlp.gate_up_proj.weight	4	0.328930	82.233	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.9.self_attn.o_proj.weight	4	0.324701	81.175	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.9.self_attn.qkv_proj.weight	4	0.280741	70.185	[1x1x1024]	[4096x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	embedding_quantized	prefill	model.embed_tokens.weight	1	0.347460	347.460	[1x23]	[248320x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.0.linear_attn.in_proj_qkv_z_ba.weight	1	0.367409	367.409	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.0.linear_attn.out_proj.weight	1	0.392758	392.758	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.0.mlp.down_proj.weight	1	0.300651	300.651	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.0.mlp.gate_up_proj.weight	1	0.265763	265.763	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.1.linear_attn.in_proj_qkv_z_ba.weight	1	0.393538	393.538	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.1.linear_attn.out_proj.weight	1	0.351689	351.689	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.1.mlp.down_proj.weight	1	0.277021	277.021	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.1.mlp.gate_up_proj.weight	1	0.261942	261.942	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.10.linear_attn.in_proj_qkv_z_ba.weight	1	0.399148	399.148	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.10.linear_attn.out_proj.weight	1	0.344050	344.050	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.10.mlp.down_proj.weight	1	0.289431	289.431	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.10.mlp.gate_up_proj.weight	1	0.279212	279.212	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.11.mlp.down_proj.weight	1	0.282382	282.382	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.11.mlp.gate_up_proj.weight	1	0.261813	261.813	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.11.self_attn.o_proj.weight	1	0.259373	259.373	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.11.self_attn.qkv_proj.weight	1	0.211934	211.934	[1x23x1024]	[5120x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.12.linear_attn.in_proj_qkv_z_ba.weight	1	0.427678	427.678	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.12.linear_attn.out_proj.weight	1	0.365949	365.949	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.12.mlp.down_proj.weight	1	0.293981	293.981	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.12.mlp.gate_up_proj.weight	1	0.276682	276.682	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.13.linear_attn.in_proj_qkv_z_ba.weight	1	0.392799	392.799	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.13.linear_attn.out_proj.weight	1	0.362840	362.840	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.13.mlp.down_proj.weight	1	0.296022	296.022	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.13.mlp.gate_up_proj.weight	1	0.272542	272.542	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.14.linear_attn.in_proj_qkv_z_ba.weight	1	0.376899	376.899	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.14.linear_attn.out_proj.weight	1	0.360599	360.599	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.14.mlp.down_proj.weight	1	0.285552	285.552	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.14.mlp.gate_up_proj.weight	1	0.274442	274.442	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.15.mlp.down_proj.weight	1	0.282732	282.732	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.15.mlp.gate_up_proj.weight	1	0.277122	277.122	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.15.self_attn.o_proj.weight	1	0.258672	258.672	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.15.self_attn.qkv_proj.weight	1	0.218614	218.614	[1x23x1024]	[5120x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.16.linear_attn.in_proj_qkv_z_ba.weight	1	0.331880	331.880	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.16.linear_attn.out_proj.weight	1	0.360909	360.909	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.16.mlp.down_proj.weight	1	0.302981	302.981	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.16.mlp.gate_up_proj.weight	1	0.289471	289.471	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.17.linear_attn.in_proj_qkv_z_ba.weight	1	0.372539	372.539	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.17.linear_attn.out_proj.weight	1	0.358670	358.670	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.17.mlp.down_proj.weight	1	0.288952	288.952	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.17.mlp.gate_up_proj.weight	1	0.273372	273.372	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.18.linear_attn.in_proj_qkv_z_ba.weight	1	0.357630	357.630	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.18.linear_attn.out_proj.weight	1	0.358689	358.689	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.18.mlp.down_proj.weight	1	0.289971	289.971	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.18.mlp.gate_up_proj.weight	1	0.274852	274.852	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.19.mlp.down_proj.weight	1	0.278552	278.552	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.19.mlp.gate_up_proj.weight	1	0.276222	276.222	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.19.self_attn.o_proj.weight	1	0.255362	255.362	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.19.self_attn.qkv_proj.weight	1	0.213004	213.004	[1x23x1024]	[5120x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.2.linear_attn.in_proj_qkv_z_ba.weight	1	0.357709	357.709	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.2.linear_attn.out_proj.weight	1	0.356490	356.490	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.2.mlp.down_proj.weight	1	0.276912	276.912	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.2.mlp.gate_up_proj.weight	1	0.253643	253.643	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.20.linear_attn.in_proj_qkv_z_ba.weight	1	0.374149	374.149	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.20.linear_attn.out_proj.weight	1	0.358480	358.480	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.20.mlp.down_proj.weight	1	0.278801	278.801	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.20.mlp.gate_up_proj.weight	1	0.337270	337.270	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.21.linear_attn.in_proj_qkv_z_ba.weight	1	0.367699	367.699	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.21.linear_attn.out_proj.weight	1	0.341840	341.840	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.21.mlp.down_proj.weight	1	0.278402	278.402	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.21.mlp.gate_up_proj.weight	1	0.270873	270.873	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.22.linear_attn.in_proj_qkv_z_ba.weight	1	0.377239	377.239	[1x23x1024]	[8224x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.22.linear_attn.out_proj.weight	1	0.355790	355.790	[1x23x2048]	[1024x256]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.22.mlp.down_proj.weight	1	0.284902	284.902	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.22.mlp.gate_up_proj.weight	1	0.275462	275.462	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.23.mlp.down_proj.weight	1	0.292752	292.752	[1x23x3584]	[1024x448]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.23.mlp.gate_up_proj.weight	1	0.262923	262.923	[1x23x1024]	[7168x128]	23
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	model.layers.23.self_attn.o_proj.weight	1	0.254193	254.193	[1x23x2048]	[1024x256]	23
