case	model	run	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len	log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.5.linear_attn.in_proj_qkv_z_ba.weight	4	0.394398	98.5995	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.5.linear_attn.out_proj.weight	4	0.469397	117.349	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.5.mlp.down_proj.weight	4	0.279721	69.9303	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.5.mlp.gate_up_proj.weight	4	0.340151	85.0378	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.6.linear_attn.in_proj_qkv_z_ba.weight	4	0.394568	98.642	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.6.linear_attn.out_proj.weight	4	0.467976	116.994	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.6.mlp.down_proj.weight	4	0.276481	69.1202	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.6.mlp.gate_up_proj.weight	4	0.344639	86.1598	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.7.mlp.down_proj.weight	4	0.276262	69.0655	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.7.mlp.gate_up_proj.weight	4	0.384577	96.1442	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.7.self_attn.o_proj.weight	4	0.396448	99.112	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.7.self_attn.qkv_proj.weight	4	0.301731	75.4327	[1x1x1024]	[5120x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.8.linear_attn.in_proj_qkv_z_ba.weight	4	0.395319	98.8298	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.8.linear_attn.out_proj.weight	4	0.494105	123.526	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.8.mlp.down_proj.weight	4	0.275252	68.813	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.8.mlp.gate_up_proj.weight	4	0.342889	85.7223	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.9.linear_attn.in_proj_qkv_z_ba.weight	4	0.399708	99.927	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.9.linear_attn.out_proj.weight	4	0.466325	116.581	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.9.mlp.down_proj.weight	4	0.281351	70.3377	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.9.mlp.gate_up_proj.weight	4	0.34271	85.6775	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	embedding_quantized	prefill	model.embed_tokens.weight	1	0.34746	347.46	[1x23]	[248320x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.0.linear_attn.in_proj_qkv_z_ba.weight	1	0.367409	367.409	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.0.linear_attn.out_proj.weight	1	0.392758	392.758	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.0.mlp.down_proj.weight	1	0.300651	300.651	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.0.mlp.gate_up_proj.weight	1	0.265763	265.763	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.1.linear_attn.in_proj_qkv_z_ba.weight	1	0.393538	393.538	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.1.linear_attn.out_proj.weight	1	0.351689	351.689	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.1.mlp.down_proj.weight	1	0.277021	277.021	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.1.mlp.gate_up_proj.weight	1	0.261942	261.942	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.10.linear_attn.in_proj_qkv_z_ba.weight	1	0.399148	399.148	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.10.linear_attn.out_proj.weight	1	0.34405	344.05	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.10.mlp.down_proj.weight	1	0.289431	289.431	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.10.mlp.gate_up_proj.weight	1	0.279212	279.212	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.11.mlp.down_proj.weight	1	0.282382	282.382	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.11.mlp.gate_up_proj.weight	1	0.261813	261.813	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.11.self_attn.o_proj.weight	1	0.259373	259.373	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.11.self_attn.qkv_proj.weight	1	0.211934	211.934	[1x23x1024]	[5120x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.12.linear_attn.in_proj_qkv_z_ba.weight	1	0.427678	427.678	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.12.linear_attn.out_proj.weight	1	0.365949	365.949	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.12.mlp.down_proj.weight	1	0.293981	293.981	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.12.mlp.gate_up_proj.weight	1	0.276682	276.682	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.13.linear_attn.in_proj_qkv_z_ba.weight	1	0.392799	392.799	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.13.linear_attn.out_proj.weight	1	0.36284	362.84	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.13.mlp.down_proj.weight	1	0.296022	296.022	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.13.mlp.gate_up_proj.weight	1	0.272542	272.542	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.14.linear_attn.in_proj_qkv_z_ba.weight	1	0.376899	376.899	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.14.linear_attn.out_proj.weight	1	0.360599	360.599	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.14.mlp.down_proj.weight	1	0.285552	285.552	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.14.mlp.gate_up_proj.weight	1	0.274442	274.442	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.15.mlp.down_proj.weight	1	0.282732	282.732	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.15.mlp.gate_up_proj.weight	1	0.277122	277.122	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.15.self_attn.o_proj.weight	1	0.258672	258.672	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.15.self_attn.qkv_proj.weight	1	0.218614	218.614	[1x23x1024]	[5120x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.16.linear_attn.in_proj_qkv_z_ba.weight	1	0.33188	331.88	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.16.linear_attn.out_proj.weight	1	0.360909	360.909	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.16.mlp.down_proj.weight	1	0.302981	302.981	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.16.mlp.gate_up_proj.weight	1	0.289471	289.471	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.17.linear_attn.in_proj_qkv_z_ba.weight	1	0.372539	372.539	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.17.linear_attn.out_proj.weight	1	0.35867	358.67	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.17.mlp.down_proj.weight	1	0.288952	288.952	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.17.mlp.gate_up_proj.weight	1	0.273372	273.372	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.18.linear_attn.in_proj_qkv_z_ba.weight	1	0.35763	357.63	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.18.linear_attn.out_proj.weight	1	0.358689	358.689	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.18.mlp.down_proj.weight	1	0.289971	289.971	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.18.mlp.gate_up_proj.weight	1	0.274852	274.852	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.19.mlp.down_proj.weight	1	0.278552	278.552	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.19.mlp.gate_up_proj.weight	1	0.276222	276.222	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.19.self_attn.o_proj.weight	1	0.255362	255.362	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.19.self_attn.qkv_proj.weight	1	0.213004	213.004	[1x23x1024]	[5120x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.2.linear_attn.in_proj_qkv_z_ba.weight	1	0.357709	357.709	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.2.linear_attn.out_proj.weight	1	0.35649	356.49	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.2.mlp.down_proj.weight	1	0.276912	276.912	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.2.mlp.gate_up_proj.weight	1	0.253643	253.643	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.20.linear_attn.in_proj_qkv_z_ba.weight	1	0.374149	374.149	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.20.linear_attn.out_proj.weight	1	0.35848	358.48	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.20.mlp.down_proj.weight	1	0.278801	278.801	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.20.mlp.gate_up_proj.weight	1	0.33727	337.27	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.21.linear_attn.in_proj_qkv_z_ba.weight	1	0.367699	367.699	[1x23x1024]	[8224x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.21.linear_attn.out_proj.weight	1	0.34184	341.84	[1x23x2048]	[1024x256]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.21.mlp.down_proj.weight	1	0.278402	278.402	[1x23x3584]	[1024x448]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	prefill	model.layers.21.mlp.gate_up_proj.weight	1	0.270873	270.873	[1x23x1024]	[7168x128]	23	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
